,Q2Num_Age,Q3B_Gender,"Q6Num_How many members are there in your household? ( Include Grandparents, Aunts, Uncles, Cousins, Sisters-in-law, Nephews, Nieces, Siblings, etc., if they are living with you or next door to you. example: 2.0)",Q7B_Are you the only child?,Q8B_Are you the oldest child?,Q9B_Are you the youngest child?,Q10B_Do you have any pets?,"Q11F_Say, you are playing a fierce game of badminton with your friends. Your mother keeps calling you from the balcony, asking you to come home and have your dinner. What will you do?","Q12Lns_Approximately how many people, whom you once knew well, do you now avoid, no longer meet, invite, or talk to? (Include anyone you have blocked on your Phone, Whatsapp, Facebook, Instagram, etc.)","Q13B_In the last three years, how many good friends have you made? ( don t include classmates, acquaintances you are not close to. )","Q14V1-5_How often have your parents discussed with you, your marks / school work / University subjects?","Q15B_Say during an exam, you momentarily show your answer sheet to a struggling friend. Your teacher decides to punish both of you. You and your friend are asked to bring your parents to School. What would you do in such a situation?",Q16T_How often do you check your social media?,Q17F_ I can easily tell how others are feeling.  How strongly do you agree with this statement?,"Q18B_Say a popular group of boys and girls from your School or College are angry at your friend. Incidentally you are invited to a house party thrown by this group, but your friend is not invited. What do you usually do in such a situation?","Q19F_ When a best friend is angry, I feel angry too and take my best friend s side.  How strongly do you agree with this statement?","Q20T_Say you move into a new high-rise apartment with a lot of amenities, like gym, swimming pool, clubhouses and you socialize with a few people. You hear gossip against a certain boy called Rohit, stating that he s not very popular amongst them. What would your approach be pertaining to Rohit?",Q21V1-5_Which of these statements is true?,Q22B_Which of the following statements best describes you the night before the exam?,Q23V0-4_After a failure/setback what do you do?,"Q24V1-5_In general, do you ask a lot of questions. How many? ( Googling, asking friends, parents or teachers)","Q25V1-3_You are stuck on some level of competency on a new project. For example, you cannot finish 25 push-ups, find the bug in code, or cross a difficult level on a video game. What do you usually do?","Q26T_Say a friendly scientist from ISRO visits your school and talks about India s own mars-rover satellite  Mangalyaan . He invites students to come on stage after the presentation, to look at the robot closely and ask questions one-on-one. However, if you don t leave before this seminar ends, you will miss the bus back home and will have to walk all the way. What will you do?",Q28B_Say you find an error in a study book that your Professor has asked you to refer. What will you do?,Q29T_You overslept and are late for a terrace-top social event. What will you do?,"Q30V0-4_ I love public speaking, like in a classroom, Birthday party, Wedding, Team dinner, etc.  How strongly do you agree with this statement?",Q31B_Would you be friends with yourself?,"Q32B_You have just overheard from your mother s conversation, that your bunch of school friends are planning to throw a surprise birthday party for you, at your home. They will arrive in about 10 minutes. What will you do?","Q33T_Looking at your past incidents, how have you dealt with people who pass insulting personal comments at you? (Say someone makes fun of your looks, or calls you a loser)",Q34V0-4_You get lower than expected grades.,Q35V0-4_You lie to your parents but your sibling (or another relative) catches you and is now threatening to tell your parents.,Q36V0-4_You are facing bullies at School/College,"Q37V0-4_Your sibling is permanently leaving home to a far-off place for a job or college, etc.",Q38V0-4_Your pet is missing.,"Q39V0-4_Over the last decade have you experienced strong fear that causes panic, shortness of breath, a pounding heart, sweating, shaking, or dizziness?",Q40V1-5_Are you able to control your restless mind from uninvited thoughts that unnecessarily slows you down?,Q41V1-5_How do you describe your physical activity level?,Q42V1-5_Around what time do you go to bed?,Q43T_How do you describe your quality of sleep?,Q44V1-4_Where did you grow up?,"Q45B_If the Government can spend on only one of the following, which would you choose?",Q46V1-4_How close are you to nature?,Q47F_What is your view of the world today?,Q48T_You ve just heard that your younger sibling (or closest friend) has not done well in an important exam. What would you do about this?,Q49V1-5_How often do you laugh at yourself or make jokes on yourself to make others around you laugh or reduce tension in the environment?,Q50V1-4_Does humor come to you spontaneously as a natural part of you?,"Q51T_Everyday during commute, you see people violating traffic rules at a particular signal, and the cop there taking bribe and never managing the traffic. You have heard a lot about the entire system being corrupt. All this does not match the India of your dreams, and it saddens you. Looking at your past, what do you think you do in such a situation?","Q52V1-4_When you have a 1-hour homework, how many breaks do you take?",Q53V0-4_Are you generally happy?,"Q54V0-3_Are you always on time in reaching school, tuition, party etc?",Positive(Sentimental analysis) ,Neutral(Sentimental analysis),Negative(Sentimental analysis)
0,15,1,4,0,1,0,0,2,1.791759,0,1,1,1,-1,0,-1,0,2,1,0,5,3,1,0,1,2,1,0,-1,2,0,3,0,0,0,3,2,2,-1,2,0,1,-2,0,4,1,-1,2,0,0,1.0,0.0,0.0
1,16,0,3,0,0,0,0,2,0.0,0,1,1,-1,-2,0,-1,1,3,0,0,5,1,1,1,1,1,1,1,0,1,2,4,4,4,0,4,1,1,1,2,0,4,-1,-1,2,4,-1,1,0,0,0.99,0.01,0.0
2,18,1,8,0,1,0,0,2,0.0,1,3,1,-1,1,0,0,-1,1,0,1,3,1,1,0,0,4,1,1,-1,1,1,2,2,0,2,3,3,1,0,1,0,2,1,-1,1,2,0,4,0,0,0.09,0.9,0.01
3,19,1,4,0,1,0,0,2,0.0,1,5,1,-1,0,1,2,-1,1,1,1,1,3,0,0,-1,0,1,1,0,3,2,4,1,0,3,5,2,4,1,1,1,4,2,-1,4,4,-1,3,1,2,1.0,0.0,0.0
4,19,0,4,0,1,1,1,2,3.4011970000000002,1,3,0,-1,1,0,-1,-1,1,1,3,1,3,0,0,-1,3,1,1,0,3,4,2,3,4,4,2,1,3,-1,2,1,2,-1,1,1,1,1,3,3,3,1.0,0.0,0.0
5,20,0,4,0,0,1,0,2,1.0986120000000001,1,5,1,-1,-2,1,-2,-1,3,1,2,4,3,1,0,-1,0,1,0,1,3,3,3,4,0,2,2,3,4,0,2,0,1,-1,1,4,4,1,1,1,2,0.94,0.02,0.04
6,19,1,4,0,0,1,0,1,2.3025849999999997,0,3,1,1,1,0,1,0,1,1,2,3,3,1,0,-1,4,1,1,-1,2,4,4,3,2,1,2,1,2,-1,1,0,4,-1,1,1,2,1,3,2,3,1.0,0.0,0.0
7,19,1,5,0,0,1,0,2,2.3025849999999997,1,5,1,-1,-2,1,0,0,5,1,0,4,1,0,0,1,4,1,0,-1,3,2,4,2,4,3,4,3,2,-1,2,0,4,-1,0,5,1,1,4,2,0,0.89,0.1,0.01
8,19,0,3,1,0,0,0,1,2.995732,1,5,1,1,-2,0,-2,-1,2,1,2,3,2,1,0,1,0,1,1,-1,1,3,0,0,3,4,4,1,3,-1,1,1,4,-2,-1,4,1,1,2,3,2,0.0,0.01,0.99
9,21,1,6,0,0,1,0,0,0.0,0,3,1,0,-2,0,-1,-1,4,1,2,1,2,-1,0,0,0,1,0,-1,2,4,3,3,4,1,3,1,3,-1,2,0,1,-1,0,4,1,1,3,2,1,0.98,0.0,0.02
10,20,0,4,0,1,0,0,2,1.791759,0,3,0,0,-2,0,-2,-1,5,1,0,4,3,1,0,1,0,1,1,0,4,3,4,3,4,2,5,3,2,0,1,0,1,-2,1,2,4,1,4,0,2,0.99,0.01,0.0
11,20,1,4,0,1,0,0,1,1.0986120000000001,1,1,0,-1,0,0,-2,1,1,0,2,3,3,0,0,-1,0,1,0,0,1,0,0,1,0,3,4,2,2,-1,3,0,4,-1,0,5,4,0,1,3,3,0.9,0.08,0.02
12,20,1,4,0,0,1,0,0,1.0986120000000001,1,3,1,-1,-2,0,0,0,2,1,2,3,3,0,0,1,2,1,0,0,4,3,4,3,4,2,3,3,1,-1,1,0,4,-1,1,2,4,-1,1,2,2,0.99,0.0,0.01
13,20,0,4,0,0,1,0,2,0.0,0,3,1,-1,0,1,-2,-1,2,1,3,3,3,1,0,1,1,1,1,0,3,2,3,4,2,2,4,1,3,-1,4,0,4,-2,1,4,4,1,1,2,3,0.47,0.0,0.53
14,21,0,4,0,0,1,0,-1,1.3862940000000001,1,5,1,-1,0,1,-2,0,5,0,3,4,3,1,0,1,2,0,0,0,3,3,4,3,3,3,4,2,2,0,1,0,4,2,1,2,1,1,1,2,3,0.62,0.38,0.0
15,20,1,4,0,1,0,0,2,2.70805,1,5,1,1,1,1,1,-1,4,1,2,4,3,0,0,-1,1,0,1,0,3,0,3,3,4,2,1,1,5,1,1,0,4,1,-1,1,2,-1,2,3,3,0.98,0.0,0.02
